Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative
32,827,1,1,1,134,4,71,3,1,1,2956,1,13,80,0,1,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20,871,6,3,1,137,4,66,2,1,4,2926,1,18,80,0,1,5,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,665,6,4,1,138,1,41,3,2,3,4809,1,14,80,0,16,3,3,16,2,10,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,1040,2,2,1,139,3,100,2,2,4,5163,5,14,80,1,17,2,4,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
59,1420,2,4,1,140,3,32,2,5,4,18844,9,21,80,1,30,3,3,3,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,1115,1,3,1,141,1,73,3,5,2,18172,3,19,80,0,28,1,2,8,0,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
25,240,5,3,1,142,3,46,2,2,3,5744,1,11,80,0,6,1,3,6,0,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
25,1280,7,1,1,143,4,64,2,1,4,2889,1,11,80,2,2,2,3,2,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
22,534,15,3,1,144,2,59,3,1,4,2871,1,15,80,0,1,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
51,1456,1,4,1,145,1,30,2,3,1,7484,3,20,80,0,23,1,2,13,12,8,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
34,658,7,3,1,147,1,66,1,2,3,6074,1,24,80,0,9,3,3,9,0,6,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
54,142,26,3,1,148,4,30,4,4,4,17328,2,12,80,0,23,3,3,5,4,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,1127,18,1,1,150,2,52,3,1,3,2774,0,12,80,1,6,2,3,5,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,1031,6,4,1,151,3,45,2,2,2,4505,6,15,80,1,12,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1189,3,3,1,152,3,87,3,3,4,7428,2,12,80,0,12,3,3,5,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
34,1354,5,3,1,153,3,45,2,3,1,11631,2,12,80,0,14,6,3,11,5,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,1467,11,2,1,154,2,92,3,3,4,9738,0,14,80,1,10,6,3,9,2,8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
36,922,3,2,1,155,1,39,3,1,4,2835,5,22,80,1,7,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43,394,26,2,1,158,3,92,3,4,4,16959,1,12,80,2,25,3,4,25,4,12,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,1312,23,3,1,159,1,96,1,1,3,2613,1,25,80,3,10,2,2,10,0,9,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33,750,22,2,1,160,3,95,3,2,2,6146,0,13,80,1,8,2,4,7,0,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
56,441,14,4,1,161,2,72,3,1,2,4963,9,18,80,3,7,2,3,5,4,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,684,6,3,1,162,1,51,3,5,3,19537,7,13,80,0,23,5,3,20,15,15,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,249,6,4,1,163,2,76,1,2,3,6172,4,18,80,0,12,3,2,7,7,7,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,841,6,3,1,164,3,46,2,1,2,2368,1,19,80,0,5,3,2,5,4,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
58,147,23,4,1,165,4,94,3,3,4,10312,1,12,80,1,40,3,2,40,15,6,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
19,528,22,1,1,167,4,50,3,1,3,1675,1,19,80,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22,594,2,1,1,169,3,100,3,1,4,2523,0,14,80,1,3,2,3,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
49,470,20,4,1,170,3,96,3,2,1,6567,1,14,80,0,16,2,2,15,5,11,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
43,957,28,3,1,171,2,72,4,1,3,4739,4,12,80,0,18,2,3,3,1,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
50,809,12,3,1,174,3,77,3,3,4,9208,4,11,80,0,16,3,3,2,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31,542,20,3,1,175,2,71,1,2,3,4559,3,11,80,1,4,2,3,2,2,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,802,9,1,1,176,3,96,3,3,3,8189,3,13,80,1,12,2,3,9,0,7,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
26,1355,25,1,1,177,3,61,3,1,3,2942,1,23,80,1,8,3,3,8,5,7,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,216,6,2,1,178,2,84,3,2,2,4941,6,20,80,2,7,0,3,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
51,1150,8,4,1,179,1,53,1,3,4,10650,2,15,80,0,18,2,3,4,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,1329,4,4,1,182,4,47,2,2,3,5902,4,14,80,1,17,1,4,15,5,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25,959,28,3,1,183,1,41,2,2,3,8639,2,18,80,0,6,3,3,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,1240,9,3,1,184,3,48,3,2,4,6347,0,19,80,0,12,2,1,11,4,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,1033,9,3,1,190,1,41,3,1,1,4200,7,22,80,0,10,2,4,5,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45,1316,29,3,1,192,3,83,3,1,4,3452,5,13,80,0,9,2,2,6,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,364,3,5,1,193,4,32,3,2,3,4317,3,20,80,0,19,2,3,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
30,438,18,3,1,194,1,75,3,1,3,2632,1,14,80,0,5,4,2,5,0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32,689,9,2,1,195,4,35,1,2,4,4668,0,17,80,3,9,2,4,8,0,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,201,5,3,1,197,4,84,3,1,1,3204,5,14,80,1,8,3,3,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
